山風,甲　E-2-O（ボス）,5.65
山風,丙　E-2-O（ボス）,4.48
山風,甲　E-3-Q（ボス）,3.73
山風,丙　E-3-Q（ボス）,2.73
朝風,甲　E-4-M（輸送ボス）,1.86
朝風,甲　E-4-V（ボス）,4.99
朝風,丙　E-4-V（ボス）,1.93
朝風,甲　E-5-A,1.85
朝風,丙　E-5-A,1.55
朝風,甲　E-5-O,0.82
朝風,丙　E-5-O,0.76
朝風,甲Ｓ　E-5-T（ボス）,4.90
朝風,甲Ａ　E-5-T（ボス）,2.68
朝風,丙Ｓ　E-5-T（ボス）,4.22
朝風,丙Ａ　E-5-T（ボス）,2.16
秋月,甲　E-1-J,0.28
秋月,丙　E-1-J,0.96
秋月,甲　E-1-L（ボス）,0.91
秋月,丙　E-1-L（ボス）,1.19
初月,甲　E-1-L（ボス）,1.69
初月,丙　E-1-L（ボス）,1.30
神風,甲　E-2-O（ボス）,1.26
神風,丙　E-2-O（ボス）,1.41
春風,甲　E-2-J,1.51
春風,丙　E-2-J,1.21
春風,甲　E-2-O（ボス）,1.79
春風,丙　E-2-O（ボス）,2.06
天城,甲　E-3-Q（ボス）,0.70
天城,丙　E-3-Q（ボス）,1.23
萩風,甲　E-4-M（輸送ボス）,0.96
萩風,丙　E-4-M（輸送ボス）,0.33
萩風,甲　E-4-R,0.62
萩風,丙　E-4-R,0.35
萩風,甲　E-4-V（ボス）,0.57
萩風,丙　E-4-V（ボス）,1.01
嵐,甲　E-4-R,1.20
嵐,丙　E-4-R,1.04
嵐,甲　E-4-S,0.78
嵐,丙　E-4-S,0.84
親潮,甲　E-4-V（ボス）,1.28
親潮,丙　E-4-V（ボス）,1.61
親潮,甲Ｓ　E-5-T（ボス）,1.35
親潮,甲Ａ　E-5-T（ボス）,0.99
親潮,丙Ｓ　E-5-T（ボス）,0.87
親潮,丙Ａ　E-5-T（ボス）,1.50
Pola,甲Ａ　E-5-T（ボス）,0.68
Pola,丙Ａ　E-5-T（ボス）,0.96
Prinz_Eugen,甲Ｓ　E-5-T（ボス）,0.81
Prinz_Eugen,甲Ａ　E-5-T（ボス）,0.53
Prinz_Eugen,丙Ｓ　E-5-T（ボス）,0.51
Prinz_Eugen,丙Ａ　E-5-T（ボス）,0.49
酒匂,甲　E-5-A,3.21
酒匂,丙　E-5-A,2.14
酒匂,甲　E-5-O,2.81
酒匂,丙　E-5-O,2.55
酒匂,甲Ｓ　E-5-T（ボス）,1.62
酒匂,甲Ａ　E-5-T（ボス）,4.04
酒匂,丙Ｓ　E-5-T（ボス）,1.78
酒匂,丙Ａ　E-5-T（ボス）,3.64
